,loss,nse,val_loss,val_nse
52,0.0027926462367117216,0.8567386,0.0014406928827027784,0.9212534
53,0.00319288446808894,0.84404564,0.0015801101440499142,0.91124016
54,0.002499780570664665,0.85914785,0.001248250544160654,0.9202503
55,0.0026507922914377428,0.86394215,0.0014374246101169234,0.91279763
56,0.0025771638185448876,0.8563727,0.001149169433861085,0.9313865
57,0.002822559371122462,0.8502499,0.0014045628060507479,0.924645
58,0.002613649055478675,0.8678854,0.0015404343917143066,0.9139099
59,0.002441197483819286,0.8663559,0.0012647579768402444,0.9293514
60,0.0023214427507971327,0.8679728,0.001267188718629699,0.92512447
61,0.0025822322758300214,0.8659004,0.002739324650819769,0.8337783
62,0.0030707943533579223,0.83930695,0.0012052807705835592,0.9242535
63,0.0021966380508858614,0.8778712,0.0012821635911212388,0.92129594
64,0.00228203971632015,0.88368356,0.0011528928282449693,0.93013936
65,0.0032576511848709955,0.8341371,0.0017403987605218597,0.89045095
66,0.004067867257588135,0.7883434,0.0013927066096609977,0.9141146
67,0.0027874089375697674,0.84848636,0.001145112915732909,0.93670094
68,0.0023477436475986806,0.86783755,0.001170609409854886,0.92411375
69,0.0024607431551494923,0.8650186,0.0011895658198457974,0.9355197
70,0.0022083508849964247,0.8734572,0.0012729666748824138,0.9274885
71,0.002444473727238735,0.86844057,0.0012449490721171427,0.9272848
72,0.0023717131671514447,0.87406147,0.001414918922653127,0.9182205
73,0.0021991836326036235,0.87957436,0.0011998459589266834,0.9299746
74,0.0024847263137170706,0.87030137,0.001560399075084345,0.902573
75,0.0022136048720415445,0.8712222,0.0015704315805079657,0.90206003
76,0.0021311662002434398,0.8840071,0.0011890821109175561,0.9323317
77,0.0023988706422162502,0.8639097,0.0010619343286561742,0.9378214
78,0.0022920389560353214,0.8814778,0.0015399175722867647,0.9005176
79,0.002111218274087015,0.8873063,0.0011387901466239742,0.92788106
80,0.002443785679634807,0.86958003,0.0011758927118141226,0.93365514
81,0.002258603791093945,0.8728175,0.0012893867907010257,0.9197833
82,0.00208060991239855,0.88972634,0.0011069580601595602,0.9264529
83,0.0019113299475455505,0.89084476,0.0012629005987785272,0.92636347
84,0.0020260088410480504,0.8907667,0.0010372675147972189,0.93030155
85,0.0024389847250775544,0.85540855,0.0010507399501603165,0.9345587
86,0.0022687973420435414,0.8804705,0.0013762017686754337,0.92116773
87,0.0019386090412583136,0.89582366,0.0009786045671778558,0.9398954
88,0.0017879053519665796,0.9018004,0.0010214154500048386,0.94310087
89,0.0021029802430352464,0.887805,0.0010032458793831599,0.9422137
90,0.001977911354059752,0.89088726,0.0010049346692375643,0.9438279
91,0.00198699252139819,0.89287114,0.0010267459737385845,0.9364171
92,0.0021127744025381703,0.8846781,0.0014167742836796175,0.91157603
93,0.0020343778430046977,0.8863,0.0013083703321047373,0.9248825
94,0.0018567380352061357,0.8993649,0.001662774300233727,0.8911101
95,0.001854561709726568,0.9010511,0.001012892444765074,0.9405622
96,0.0018056781282430312,0.90391296,0.0011740105079497594,0.930837
97,0.0019294581415988492,0.90120775,0.0013552581954745667,0.91701686
98,0.0017128787945742067,0.90483546,0.001758121306161231,0.8964595
99,0.0017763424284721638,0.9059111,0.0014440343883867263,0.90679187
100,0.0017661356483489247,0.9018158,0.0011987423941263193,0.93033457
101,0.0017800341278914507,0.8994132,0.0009033291309910747,0.94510585
102,0.0016938702325492649,0.90402,0.0009261249913667966,0.94939065
103,0.0017566752452484137,0.90759534,0.0013693485958603552,0.9196526
104,0.0019270424116985287,0.8977241,0.001092007358323099,0.9343245
105,0.0018121463267072625,0.8998565,0.0009739346347976861,0.9473159
106,0.0019143331887031285,0.8939439,0.0009645639444447619,0.9410011
107,0.0016595911667946315,0.91239905,0.0009801326375153522,0.9401062
108,0.0015328585367939676,0.9158381,0.0010031855341752958,0.9346368
109,0.0015418960231687064,0.9197221,0.0009559411524528841,0.9393902
110,0.0015707663796317697,0.90946513,0.0008683834111236507,0.9515559
111,0.0015376887781160856,0.91923106,0.0008844920446014779,0.94986457
112,0.0015134746059167464,0.9174186,0.0008077830202375768,0.95338213
113,0.001430036383708681,0.92054677,0.0008171455558162241,0.9519963
114,0.0014474013634657194,0.9202239,0.001007674820505258,0.9431379
115,0.0015918088755575335,0.90825385,0.0009161237913130283,0.9511684
116,0.003204328441325163,0.80990976,0.0016810954428847864,0.9037722
117,0.0030675459829028534,0.82665664,0.0012171958586226757,0.93170744
118,0.0019227949517196961,0.89500505,0.0011066724983018726,0.93349457
119,0.0029015377540330244,0.87845325,0.000978001385572474,0.93938404
120,0.0017489486042971077,0.9018748,0.0013828046277344326,0.92190707
121,0.0016550133166584027,0.9114056,0.0013872995492468596,0.9130394
122,0.0017368935508151487,0.9092793,0.001011132386812424,0.9423626
123,0.0016119011080624641,0.91323406,0.0009405355941434712,0.94316167
124,0.0016897512505943428,0.9068289,0.000862895408569987,0.9453576
125,0.0014419218511394283,0.9204981,0.0010114326699217494,0.9418116
126,0.0016135000139886773,0.91078764,0.0009500378874784642,0.9428576
127,0.001720924628234141,0.8974997,0.0012056321312059594,0.930973
128,0.0017653620335457362,0.90752876,0.0009289739403919739,0.94858515
129,0.001977244427940536,0.89442796,0.0017949406700177783,0.8992752
130,0.0030576432939670205,0.836712,0.0014598800164026962,0.91679394
131,0.0020074739282755437,0.8907699,0.0010929464242880331,0.93004394
132,0.0020382245342623548,0.8923712,0.0023269206096156476,0.85181135
133,0.0018650165089628523,0.90620255,0.0012157342618767967,0.92907053
134,0.001725606078691909,0.8984716,0.0011670376742721452,0.92539644
135,0.001818914166251389,0.90078115,0.0011341361765945938,0.9290137
136,0.0016672859394010686,0.9116316,0.0011697173267168923,0.93285114
137,0.001470497547786259,0.9155785,0.0008929801254384432,0.9459905
138,0.0022324984939431193,0.87765026,0.0013777567697020228,0.9242725
139,0.002656426948779002,0.8473652,0.0011411538334648403,0.920656
140,0.0022082699507006746,0.8871797,0.001064645825673552,0.93507403
141,0.0017359251500643376,0.9062672,0.0009520100954990025,0.9412754
142,0.002035274097868459,0.89686286,0.0011328282803465327,0.9305401
143,0.00229306353550418,0.87501717,0.0010006506028593994,0.9376757
